timeStamp,car,date,time,lat,lon,speed,x,y,z,o2,map,name,description,hr
2025-06-07 13:44:00.039,8,07/06/2025,13:43:59,14.9585238,103.0848541,0.107,0.048,0.064,0.928,6.665,10.76094,,,1
2025-06-07 13:44:00.161,8,07/06/2025,13:43:59,14.9585238,103.0848541,0.107,0.064,0.048,1.04,6.384,10.775,,,1
2025-06-07 13:44:00.275,8,07/06/2025,13:44:00,14.9585238,103.0848541,0.074,0.016,-0.016,0.896,6.521,10.76797,,,1
2025-06-07 13:44:00.390,8,07/06/2025,13:44:00,14.9585238,103.0848541,0.074,0.0,0.032,0.992,6.817,10.79297,,,1
2025-06-07 13:44:00.502,8,07/06/2025,13:44:00,14.9585238,103.0848541,0.074,0.048,-0.016,1.056,6.74,10.7375,,,1
2025-06-07 13:44:00.610,8,07/06/2025,13:44:00,14.9585238,103.0848541,0.074,0.016,0.032,0.896,6.976,10.775,,,1
2025-06-07 13:44:00.734,8,07/06/2025,13:44:00,14.9585238,103.0848541,0.074,-0.016,0.0,1.12,6.817,10.77734,,,1
2025-06-07 13:44:00.844,8,07/06/2025,13:44:00,14.9585238,103.0848541,0.074,0.032,0.0,0.816,6.665,10.75234,,,1
2025-06-07 13:44:00.953,8,07/06/2025,13:44:00,14.9585238,103.0848541,0.074,0.064,0.016,0.896,6.592,10.75859,,,1
2025-06-07 13:44:01.064,8,07/06/2025,13:44:00,14.9585238,103.0848541,0.074,0.048,-0.016,0.976,6.665,10.79141,,,1
2025-06-07 13:44:01.173,8,07/06/2025,13:44:00,14.9585238,103.0848541,0.074,0.032,0.016,1.072,6.521,10.75937,,,1
2025-06-07 13:44:01.291,8,07/06/2025,13:44:01,14.9585257,103.0848541,0.131,0.048,-0.016,1.008,6.384,10.82422,,,1
2025-06-07 13:44:01.400,8,07/06/2025,13:44:01,14.9585257,103.0848541,0.131,0.016,0.048,0.688,6.318,10.77578,,,1
2025-06-07 13:44:01.511,8,07/06/2025,13:44:01,14.9585257,103.0848541,0.131,0.016,0.032,1.152,6.592,10.76875,,,1
2025-06-07 13:44:01.640,8,07/06/2025,13:44:01,14.9585257,103.0848541,0.131,0.08,0.0,0.768,6.318,10.76172,,,1
2025-06-07 13:44:01.750,8,07/06/2025,13:44:01,14.9585257,103.0848541,0.131,0.08,0.016,1.072,6.521,10.79766,,,1
2025-06-07 13:44:01.871,8,07/06/2025,13:44:01,14.9585257,103.0848541,0.131,0.064,-0.032,1.008,6.521,10.76406,,,1
2025-06-07 13:44:01.982,8,07/06/2025,13:44:01,14.9585257,103.0848541,0.131,0.048,0.032,0.976,6.592,10.73828,,,1
2025-06-07 13:44:02.092,8,07/06/2025,13:44:01,14.9585257,103.0848541,0.131,0.016,0.0,0.992,6.592,10.76875,,,1
2025-06-07 13:44:02.221,8,07/06/2025,13:44:01,14.9585257,103.0848541,0.131,0.064,0.0,1.008,7.059,10.75703,,,1
2025-06-07 13:44:02.334,8,07/06/2025,13:44:02,14.9585257,103.0848541,0.107,0.08,0.064,1.04,6.896,10.78906,,,1
2025-06-07 13:44:02.451,8,07/06/2025,13:44:02,14.9585257,103.0848541,0.107,0.112,0.08,1.168,6.665,10.73672,,,1
2025-06-07 13:44:02.562,8,07/06/2025,13:44:02,14.9585257,103.0848541,0.107,0.08,0.096,1.104,6.592,10.775,,,1
2025-06-07 13:44:02.671,8,07/06/2025,13:44:02,14.9585257,103.0848541,0.107,0.096,0.08,0.912,6.452,10.71641,,,1
2025-06-07 13:44:02.780,8,07/06/2025,13:44:02,14.9585257,103.0848541,0.107,0.144,0.128,1.088,6.521,10.77266,,,1
2025-06-07 13:44:02.900,8,07/06/2025,13:44:02,14.9585257,103.0848541,0.107,0.08,0.064,1.072,6.592,10.7375,,,1
2025-06-07 13:44:03.010,8,07/06/2025,13:44:02,14.9585257,103.0848541,0.107,0.128,0.128,0.944,6.384,10.75859,,,1
2025-06-07 13:44:03.133,8,07/06/2025,13:44:02,14.9585257,103.0848541,0.107,0.096,0.048,1.12,6.452,10.77266,,,1
2025-06-07 13:44:03.241,8,07/06/2025,13:44:02,14.9585257,103.0848541,0.107,0.112,0.08,1.024,6.253,10.74922,,,1
2025-06-07 13:44:03.349,8,07/06/2025,13:44:03,14.9585266,103.0848541,0.09,0.096,0.064,0.992,6.384,10.78203,,,1
2025-06-07 13:44:03.466,8,07/06/2025,13:44:03,14.9585266,103.0848541,0.09,0.064,0.08,1.12,6.384,10.78359,,,1
2025-06-07 13:44:03.581,8,07/06/2025,13:44:03,14.9585266,103.0848541,0.09,0.096,0.128,0.928,6.665,10.76016,,,1
